aX,aY,aZ,gX,gY,gZ
0.770,-0.083,2.645,7.568,-46.875,25.024
0.704,-0.320,2.721,13.672,-54.321,28.320
0.665,-0.558,2.649,12.024,-53.772,21.667
0.548,-0.734,2.606,5.188,-61.157,18.799
0.410,-0.895,2.537,-3.662,-73.792,21.057
0.299,-1.056,2.411,-13.672,-79.834,24.170
0.159,-1.200,2.264,-24.292,-82.275,23.315
0.042,-1.293,2.064,-33.813,-86.487,15.198
-0.041,-1.349,1.871,-32.776,-95.581,3.845
-0.124,-1.351,1.715,-21.729,-105.042,-6.836
-0.224,-1.362,1.626,-7.507,-109.436,-18.005
-0.344,-1.372,1.599,5.371,-109.253,-29.724
-0.439,-1.398,1.559,16.541,-108.093,-42.969
-0.499,-1.439,1.500,26.978,-107.605,-56.396
-0.523,-1.466,1.529,36.499,-102.844,-69.641
-0.491,-1.454,1.605,39.185,-91.675,-81.848
-0.395,-1.459,1.661,31.738,-75.012,-89.233
-0.250,-1.463,1.718,14.832,-54.077,-89.417
-0.127,-1.464,1.716,-10.132,-28.198,-87.524
0.010,-1.423,1.684,-35.522,-4.517,-85.999
0.106,-1.365,1.630,-58.350,12.390,-89.783
0.149,-1.272,1.494,-75.623,20.325,-102.295
0.129,-1.278,1.317,-87.219,19.226,-117.798
0.118,-1.314,1.106,-106.689,15.991,-131.958
0.043,-1.250,0.843,-136.108,13.062,-139.099
0.007,-0.825,0.444,-161.072,12.695,-137.146
-0.009,-0.585,0.080,-146.423,9.583,-129.944
0.120,-0.270,-0.180,-94.238,5.554,-120.667
0.388,0.075,-0.345,-37.964,7.996,-105.225
0.669,0.256,-0.380,10.742,12.146,-76.721
0.918,0.334,-0.345,38.635,20.203,-30.579
1.165,0.412,-0.303,35.461,26.184,19.836
1.449,0.616,-0.240,11.108,22.156,53.650
1.610,0.820,-0.031,-29.602,18.311,59.753
1.498,0.807,0.168,-81.604,31.006,40.039
1.181,0.762,0.161,-137.756,53.101,0.854
0.879,0.842,-0.014,-180.298,52.124,-39.673
0.578,0.993,-0.229,-192.017,25.513,-76.599
0.396,1.083,-0.466,-175.476,-4.333,-105.347
0.330,1.161,-0.536,-141.113,-20.935,-119.751
0.376,1.259,-0.448,-109.741,-21.240,-123.474
0.411,1.377,-0.323,-90.210,-11.902,-121.338
