aX,aY,aZ,gX,gY,gZ
3.974,2.940,4.000,-67.871,230.164,-97.229
3.656,3.158,4.000,-63.171,202.942,-122.803
3.316,3.154,4.000,-56.091,156.311,-131.653
2.834,2.919,4.000,-69.397,102.600,-108.582
2.381,2.538,3.877,-101.318,64.819,-59.082
1.913,2.082,3.545,-143.982,44.861,-6.470
1.439,1.574,3.084,-187.012,31.616,34.912
1.032,1.121,2.591,-216.248,17.517,64.270
0.679,0.811,2.055,-224.670,3.418,77.881
0.542,0.675,1.663,-208.008,-3.174,75.134
0.530,0.593,1.447,-164.185,-10.681,60.913
0.544,0.498,1.404,-107.483,-22.461,43.091
0.524,0.422,1.408,-58.655,-36.743,24.231
0.650,0.354,1.391,-28.931,-43.945,7.019
0.439,0.413,1.386,-17.456,-46.021,-3.296
0.662,0.161,1.079,-14.832,-26.855,-4.028
0.432,0.004,1.387,-16.846,-39.856,-17.944
0.501,0.247,1.412,-12.329,-91.003,-4.517
0.844,0.316,1.133,-7.080,-88.074,22.339
0.636,0.194,0.940,-17.212,-68.237,22.461

-0.071,-0.035,0.766,-22.766,15.198,-4.028
-0.068,-0.033,0.751,-22.461,12.817,-6.104
-0.089,-0.035,0.751,-20.691,10.864,-8.850
-0.117,-0.058,0.770,-18.799,10.071,-12.146
-0.105,-0.066,0.772,-18.799,10.925,-15.625
-0.066,-0.059,0.736,-20.752,13.306,-19.226
-0.042,-0.063,0.713,-22.400,14.160,-23.010
-0.052,-0.075,0.705,-22.827,13.733,-26.794
-0.081,-0.089,0.700,-23.376,13.184,-31.433
-0.083,-0.049,0.673,-26.184,11.963,-37.720
-0.075,0.037,0.627,-29.480,8.301,-44.312
-0.012,0.091,0.568,-27.832,2.197,-52.490
0.080,0.152,0.534,-25.146,-7.996,-62.500
0.184,0.233,0.505,-24.841,-20.569,-73.425
0.315,0.354,0.419,-32.104,-30.151,-81.482
0.416,0.507,0.305,-45.776,-34.241,-86.548
0.543,0.656,0.227,-60.364,-33.142,-89.355
0.665,0.798,0.207,-73.608,-26.428,-88.440
0.795,0.946,0.186,-86.548,-19.775,-82.214
1.027,1.021,0.137,-87.708,-16.113,-72.021
1.187,1.052,0.029,-73.120,-17.029,-63.904
1.260,1.059,-0.119,-55.969,-21.057,-59.509
1.291,0.989,-0.329,-44.434,-25.146,-55.664
1.319,0.963,-0.536,-37.720,-26.245,-51.514
1.263,0.978,-0.796,-34.058,-22.400,-48.340
1.086,0.998,-1.028,-29.358,-10.559,-46.021
0.944,1.106,-1.180,-23.865,5.554,-43.762
0.806,1.327,-1.297,-4.211,25.208,-41.565
0.582,1.338,-1.344,42.542,38.330,-44.067
0.469,1.249,-1.228,106.140,35.339,-55.298
0.536,1.415,-1.107,151.550,29.297,-61.951
0.563,1.857,-0.975,170.227,27.405,-51.636
0.545,2.341,-0.910,179.382,28.870,-19.897
0.619,2.480,-0.815,200.684,29.907,38.330
0.705,2.284,-0.526,228.149,36.011,124.146
0.818,1.471,-0.096,236.389,54.626,221.436
0.612,0.695,0.536,204.712,85.571,317.993
0.588,-0.046,1.065,140.015,130.005,397.705
0.388,-0.875,1.659,80.139,181.580,446.106
0.095,-1.642,2.430,47.241,223.572,461.609
-0.172,-2.163,2.973,36.194,245.972,443.787
-0.225,-2.268,3.449,46.448,238.159,412.415
-0.118,-2.500,3.844,81.970,202.087,369.812
0.004,-2.679,4.000,117.554,163.452,330.811
0.125,-2.768,4.000,121.582,131.775,301.331
0.270,-2.877,4.000,101.379,107.483,284.729
0.369,-3.030,4.000,71.777,84.656,274.353
0.505,-3.183,4.000,42.419,60.242,258.118
0.583,-3.205,4.000,21.851,36.011,231.506
0.631,-3.089,4.000,9.460,11.841,196.716
0.685,-2.940,4.000,7.812,-16.846,159.363
0.755,-2.720,4.000,12.329,-48.157,121.033
0.812,-2.387,3.927,15.808,-73.303,84.351
0.810,-2.050,3.563,17.639,-92.102,55.847
0.784,-1.755,3.159,16.968,-100.952,37.964
0.875,-1.519,2.675,12.817,-99.976,27.161
0.890,-1.310,2.239,4.517,-121.338,14.343
0.797,-1.234,1.834,-1.099,-176.331,-5.432
0.607,-1.141,1.676,-6.897,-235.046,-19.836
0.546,-0.993,1.261,-12.695,-247.986,-16.846
0.584,-0.897,0.744,-13.489,-221.252,-25.574
0.560,-0.831,0.378,-7.935,-202.576,-40.405
0.555,-0.717,0.086,2.930,-189.880,-44.067
0.544,-0.599,-0.163,16.357,-175.598,-36.377
0.591,-0.610,-0.405,28.564,-156.250,-29.419
0.601,-0.656,-0.573,30.884,-134.705,-29.724
0.603,-0.629,-0.701,21.729,-109.924,-33.569
0.627,-0.606,-0.870,8.667,-80.811,-37.231
0.671,-0.632,-1.053,-5.310,-53.101,-40.649
0.708,-0.631,-1.227,-22.095,-30.457,-40.833
0.699,-0.630,-1.370,-36.316,-13.733,-37.476
0.714,-0.759,-1.453,-41.077,1.160,-32.959
0.729,-0.830,-1.597,-36.926,14.465,-34.302
0.713,-0.808,-1.767,-22.888,18.372,-46.265
0.771,-0.841,-1.810,6.348,12.146,-62.805
0.792,-0.924,-1.797,39.185,2.319,-75.806
0.867,-0.996,-1.767,61.768,-6.104,-84.778
0.854,-1.032,-1.665,71.472,-9.155,-86.121
0.807,-1.060,-1.552,67.993,-3.113,-81.177
0.812,-1.045,-1.456,56.152,7.935,-72.937
0.783,-1.032,-1.409,44.006,16.907,-63.477
0.720,-1.048,-1.393,36.743,18.494,-54.810
0.642,-0.996,-1.396,33.203,16.052,-47.852
0.587,-0.998,-1.407,36.255,12.573,-42.114
0.449,-1.095,-1.388,44.434,10.803,-36.987
0.308,-1.277,-1.385,50.964,19.409,-36.621
0.173,-1.478,-1.321,50.781,41.992,-46.143
